	WordPiece	surprisal	window
89	Lamb	11.075251274349752	1SL/0R
90	shall	19.56096087837755	1SL/0R
91	be	8.94049775831533	1SL/0R
92	in	16.979415388658765	1SL/0R
93	it	13.362277210374225	1SL/0R
94	and	14.571911814165455	1SL/0R
95	his	14.969807732395228	1SL/0R
96	servants	23.61123365209929	1SL/0R
97	shall	18.710607380536736	1SL/0R
98	serve	10.287241283129207	1SL/0R
99	him	15.697337232506003	1SL/0R
100	.	0.15772658696410397	1SL/0R
101	And	13.874351945161749	1SL/0R
102	they	16.01671444598669	1SL/0R
103	shall	20.352807629932833	1SL/0R
104	see	17.272840675304405	1SL/0R
105	his	21.064404093323425	1SL/0R
106	face	16.49616019266018	1SL/0R
107	and	15.843130738624831	1SL/0R
108	his	10.663285064938115	1SL/0R
109	name	18.860481746712907	1SL/0R
110	shall	20.372877283528968	1SL/0R
111	be	7.085774470869493	1SL/0R
112	in	17.850149171417662	1SL/0R
113	their	15.749781397806773	1SL/0R
114	forehead	13.8250927513008	1SL/0R
115	##s	17.66204129587896	1SL/0R
116	.	0.14373852729034842	1SL/0R
117	And	13.874351945161749	1SL/0R
118	there	13.720580985194763	1SL/0R
119	shall	24.730641427712822	1SL/0R
120	be	7.24109558660395	1SL/0R
121	no	17.142076317746618	1SL/0R
122	night	16.04147648907432	1SL/0R
123	there	19.354774432768494	1SL/0R
124	and	17.240119840277135	1SL/0R
125	they	12.875551122451423	1SL/0R
126	need	14.571125263110087	1SL/0R
127	no	12.361216216329087	1SL/0R
128	candle	19.232196624484672	1SL/0R
129	neither	23.1830043692786	1SL/0R
130	light	22.536683431815028	1SL/0R
131	of	17.5795547649989	1SL/0R
132	the	13.524397668282509	1SL/0R
133	sun	5.856533793918996	1SL/0R
134	for	16.649509119660205	1SL/0R
135	the	14.836138300999922	1SL/0R
136	Lord	9.39531851136496	1SL/0R
137	God	18.235582723739395	1SL/0R
138	give	23.24797876518389	1SL/0R
139	##th	14.126706753126683	1SL/0R
140	them	15.122885620139684	1SL/0R
141	light	21.810130811134446	1SL/0R
142	and	13.125597831792813	1SL/0R
143	they	8.471724275964638	1SL/0R
144	shall	3.87388509706788	1SL/0R
145	reign	12.79328757209618	1SL/0R
146	for	14.171347579897947	1SL/0R
147	ever	12.908865210761535	1SL/0R
148	and	13.09476358719185	1SL/0R
149	ever	6.829120313951353	1SL/0R
150	.	0.1256505557026983	1SL/0R
151	And	13.874351945161749	1SL/0R
152	he	15.317025769834489	1SL/0R
153	said	14.368310361373167	1SL/0R
154	unto	22.68855142221737	1SL/0R
155	me	3.6821495233982997	1SL/0R
156	These	23.956661927839058	1SL/0R
157	saying	19.646122125286062	1SL/0R
158	##s	5.5413147915026	1SL/0R
159	are	20.298552445209495	1SL/0R
160	faithful	17.424963551243888	1SL/0R
161	and	14.314844864018927	1SL/0R
162	true	2.6640767785434134	1SL/0R
163	and	14.748342356614225	1SL/0R
164	the	10.893393451965636	1SL/0R
165	Lord	9.948112007722601	1SL/0R
166	God	12.255941933416954	1SL/0R
167	of	13.15012916505108	1SL/0R
168	the	10.120784441374829	1SL/0R
169	holy	12.495244040118251	1SL/0R
170	prophet	22.283673689746735	1SL/0R
171	##s	13.562779022536073	1SL/0R
172	sent	19.648123935794796	1SL/0R
173	his	14.716372816372921	1SL/0R
174	angel	17.33000717991958	1SL/0R
175	to	16.41066808145802	1SL/0R
176	she	19.122885339229093	1SL/0R
177	##w	22.714337449352833	1SL/0R
178	unto	19.898312479937648	1SL/0R
179	his	12.803155826626002	1SL/0R
180	servants	18.202757835749612	1SL/0R
181	the	19.44747501053381	1SL/0R
182	things	11.529242090602203	1SL/0R
183	which	18.45218937507376	1SL/0R
184	must	14.520687219118134	1SL/0R
185	shortly	20.35999640795013	1SL/0R
186	be	7.125384610437236	1SL/0R
187	done	13.906259589541461	1SL/0R
188	.	0.176368715957437	1SL/0R
189	Be	15.325413531591161	1SL/0R
190	##hold	10.3983895782796	1SL/0R
191	I	16.834204971846475	1SL/0R
192	come	17.052037718357695	1SL/0R
193	quickly	20.636612336600745	1SL/0R
194	blessed	25.40821356931668	1SL/0R
195	is	20.73008418038958	1SL/0R
196	he	13.418876439619963	1SL/0R
197	that	15.642096891482803	1SL/0R
198	keep	19.98863469577509	1SL/0R
199	##eth	20.40712396334831	1SL/0R
200	the	13.301939519148855	1SL/0R
201	saying	13.890271987373291	1SL/0R
202	##s	15.769562590830217	1SL/0R
203	of	16.623319221701564	1SL/0R
204	the	9.255957336030516	1SL/0R
205	prophecy	11.64242906902507	1SL/0R
206	of	18.296705127725442	1SL/0R
207	this	10.89267036514119	1SL/0R
208	book	15.013351030015492	1SL/0R
209	.	0.19123619629029956	1SL/0R
210	And	13.874351945161749	1SL/0R
211	I	12.906054765616336	1SL/0R
212	John	22.17661341905876	1SL/0R
213	saw	22.03359638054431	1SL/0R
214	these	21.47486694837659	1SL/0R
215	things	17.1512574929346	1SL/0R
216	and	15.217221495830264	1SL/0R
217	heard	15.990028588383574	1SL/0R
218	them	15.073816046810068	1SL/0R
219	And	22.092011976373605	1SL/0R
220	when	12.610298690945399	1SL/0R
221	I	14.294976534169061	1SL/0R
222	had	6.070828565346574	1SL/0R
223	heard	11.695558432498336	1SL/0R
224	and	9.568523309780907	1SL/0R
225	seen	6.080717743080639	1SL/0R
226	I	13.353988620778644	1SL/0R
227	fell	10.803182085169858	1SL/0R
228	down	11.755257570296141	1SL/0R
229	to	16.597597727616968	1SL/0R
230	worship	15.923841052183494	1SL/0R
231	before	14.13707419855235	1SL/0R
232	the	14.901923568793448	1SL/0R
233	feet	11.734140909121242	1SL/0R
234	of	18.16506810861583	1SL/0R
235	the	6.363709054012293	1SL/0R
236	angel	10.340009658644954	1SL/0R
237	which	18.972352456540108	1SL/0R
238	she	16.578073356045454	1SL/0R
239	##wed	19.88616310628485	1SL/0R
240	me	12.434200856280535	1SL/0R
241	these	23.040803431187932	1SL/0R
242	things	5.144993740045393	1SL/0R
243	.	0.17876524962418067	1SL/0R
244	Then	16.274394405992332	1SL/0R
245	sa	24.095420867443618	1SL/0R
246	##ith	14.47008433062152	1SL/0R
247	he	18.867479404009085	1SL/0R
248	unto	20.966499700239606	1SL/0R
249	me	10.56341171487929	1SL/0R
250	See	26.48727412271744	1SL/0R
251	thou	18.037170346336985	1SL/0R
252	do	15.966927581083626	1SL/0R
253	it	16.10762996886222	1SL/0R
254	not	18.150917278841874	1SL/0R
255	for	15.715971191356306	1SL/0R
256	I	14.279470151960293	1SL/0R
257	am	14.276007702298955	1SL/0R
258	thy	17.097450442035434	1SL/0R
259	fellows	18.82481718291048	1SL/0R
260	##er	20.99569928314875	1SL/0R
261	##vant	25.887510222338122	1SL/0R
262	and	14.598828161786079	1SL/0R
263	of	11.421372322633024	1SL/0R
264	thy	14.266115977655303	1SL/0R
265	br	20.18597286245409	1SL/0R
266	##eth	5.925513709531944	1SL/0R
267	##ren	15.103306365862487	1SL/0R
268	the	20.290364291591743	1SL/0R
269	prophet	12.912181097438205	1SL/0R
270	##s	17.55943557328718	1SL/0R
271	and	14.184808757263587	1SL/0R
272	of	9.199789305841593	1SL/0R
273	them	3.3024871655617956	1SL/0R
274	which	17.6141694522339	1SL/0R
275	keep	12.84948678737764	1SL/0R
276	the	12.104714011149255	1SL/0R
277	saying	12.12395713014104	1SL/0R
278	##s	16.153477680771022	1SL/0R
279	of	17.63574348933871	1SL/0R
280	this	11.622749083995123	1SL/0R
281	book	18.73275838904963	1SL/0R
282	worship	25.471456704141268	1SL/0R
283	God	16.717878457036	1SL/0R
284	.	0.3121580041856146	1SL/0R
285	And	13.874351945161749	1SL/0R
286	he	15.317025769834489	1SL/0R
287	sa	21.894968793478338	1SL/0R
288	##ith	18.47754777369207	1SL/0R
289	unto	22.818620683465866	1SL/0R
290	me	8.763852636357724	1SL/0R
291	Seal	30.320630617945156	1SL/0R
292	not	21.657778535714694	1SL/0R
293	the	16.48206875274604	1SL/0R
294	saying	16.355677633705156	1SL/0R
