	WordPiece	surprisal	window
203	the	10.795313045533101	1L/0R
204	prophecy	23.599362475052864	1L/0R
205	of	15.886692929979358	1L/0R
206	this	14.298133267253103	1L/0R
207	book	17.442345826780997	1L/0R
208	.	0.6566192071893451	1L/0R
209	And	18.04693873328205	1L/0R
210	I	12.906054765616336	1L/0R
211	John	21.27781200966768	1L/0R
212	saw	22.072712481595644	1L/0R
213	these	18.716829813160718	1L/0R
214	things	17.43016455179728	1L/0R
215	and	15.138129426976484	1L/0R
216	heard	24.392629610439553	1L/0R
217	them	15.106274829750568	1L/0R
218	And	21.27140682829338	1L/0R
219	when	14.158084242384966	1L/0R
220	I	17.771707975224995	1L/0R
221	had	13.488434445332553	1L/0R
222	heard	18.218848631921006	1L/0R
223	and	11.166997024811257	1L/0R
224	seen	23.446656166479723	1L/0R
225	I	16.183758593073296	1L/0R
226	fell	19.283871437088486	1L/0R
227	down	18.334570500177445	1L/0R
228	to	18.369954001929305	1L/0R
229	worship	23.82798779891451	1L/0R
230	before	21.6974763960738	1L/0R
231	the	12.510843051915915	1L/0R
232	feet	18.2130943816464	1L/0R
233	of	17.324293052347976	1L/0R
234	the	10.795313045533101	1L/0R
235	angel	22.302867830700567	1L/0R
236	which	19.196690075236397	1L/0R
237	she	13.87855501475812	1L/0R
238	##wed	22.32782481667855	1L/0R
239	me	17.416059552823096	1L/0R
240	these	23.6519297080393	1L/0R
241	things	17.43016455179728	1L/0R
242	.	0.42549250940791195	1L/0R
243	Then	21.26304186990015	1L/0R
244	sa	24.095420867443618	1L/0R
245	##ith	23.273587342416242	1L/0R
246	he	18.762507006649606	1L/0R
247	unto	21.311050115844147	1L/0R
248	me	14.087931161518783	1L/0R
249	See	26.053195612569745	1L/0R
250	thou	30.029445475557278	1L/0R
251	do	15.212609625811822	1L/0R
252	it	12.82304408053293	1L/0R
253	not	18.742184894277624	1L/0R
254	for	16.69923452655206	1L/0R
255	I	15.354886820835247	1L/0R
256	am	15.144243541420947	1L/0R
257	thy	31.134370266050535	1L/0R
258	fellows	15.11936028893574	1L/0R
259	##er	18.31145022781694	1L/0R
260	##vant	27.61613371102393	1L/0R
261	and	14.738569162686144	1L/0R
262	of	16.938276794639727	1L/0R
263	thy	22.344541011066696	1L/0R
264	br	16.26434636990553	1L/0R
265	##eth	27.069771144027914	1L/0R
266	##ren	18.416772356384403	1L/0R
267	the	17.402737371592824	1L/0R
268	prophet	24.37977010469214	1L/0R
269	##s	12.03866927765155	1L/0R
270	and	18.063814717334346	1L/0R
271	of	16.938276794639727	1L/0R
272	them	13.307005405659828	1L/0R
273	which	18.493939321269	1L/0R
274	keep	17.22778914252309	1L/0R
275	the	15.346148159151179	1L/0R
276	saying	19.5901291138233	1L/0R
277	##s	17.226967771634673	1L/0R
278	of	20.4355736922152	1L/0R
279	this	14.298133267253103	1L/0R
280	book	17.442345826780997	1L/0R
281	worship	23.69758489161402	1L/0R
282	God	21.44010505860739	1L/0R
283	.	1.4450412939858306	1L/0R
284	And	18.04693873328205	1L/0R
285	he	15.317025769834489	1L/0R
286	sa	20.888461211484728	1L/0R
287	##ith	23.273587342416242	1L/0R
288	unto	19.61659364931433	1L/0R
289	me	14.087931161518783	1L/0R
290	Seal	28.465732387524465	1L/0R
291	not	22.40458428984881	1L/0R
292	the	16.636149848527545	1L/0R
293	saying	19.5901291138233	1L/0R
294	##s	17.226967771634673	1L/0R
295	of	20.4355736922152	1L/0R
296	the	10.795313045533101	1L/0R
297	prophecy	23.599362475052864	1L/0R
298	of	15.886692929979358	1L/0R
299	this	14.298133267253103	1L/0R
300	book	17.442345826780997	1L/0R
301	for	17.87910767270086	1L/0R
302	the	13.419997856144535	1L/0R
303	time	19.098359048950968	1L/0R
304	is	15.825021454928573	1L/0R
305	at	17.534404700448558	1L/0R
306	hand	19.7804191863885	1L/0R
307	.	0.6807490617140712	1L/0R
308	He	18.195560621870975	1L/0R
309	that	16.631339550166775	1L/0R
310	is	8.964661895017	1L/0R
311	un	18.87326906360758	1L/0R
312	##ju	19.576781351852095	1L/0R
313	##st	10.863716317535717	1L/0R
314	let	26.01405559618356	1L/0R
315	him	10.92256293292206	1L/0R
316	be	21.22466591626155	1L/0R
317	un	18.663124922454017	1L/0R
318	##ju	19.576781351852095	1L/0R
319	##st	10.863716317535717	1L/0R
320	still	26.305551137758826	1L/0R
321	and	14.90108410158184	1L/0R
322	he	19.6669273829159	1L/0R
323	which	17.41634056952345	1L/0R
324	is	7.144061183848355	1L/0R
325	filthy	27.31655514144305	1L/0R
326	let	24.540613160085993	1L/0R
327	him	10.92256293292206	1L/0R
328	be	21.22466591626155	1L/0R
329	filthy	25.235143388832885	1L/0R
330	still	22.94631602110221	1L/0R
331	and	14.90108410158184	1L/0R
332	he	19.6669273829159	1L/0R
333	that	16.003362909566814	1L/0R
334	is	8.964661895017	1L/0R
335	right	18.363606044779065	1L/0R
336	##eous	18.882299200281935	1L/0R
337	let	23.13121370367008	1L/0R
338	him	10.92256293292206	1L/0R
339	be	21.22466591626155	1L/0R
340	right	17.87849873300951	1L/0R
341	##eous	18.882299200281935	1L/0R
342	still	22.740259896528958	1L/0R
343	and	14.90108410158184	1L/0R
344	he	19.6669273829159	1L/0R
345	that	16.003362909566814	1L/0R
346	is	8.964661895017	1L/0R
347	holy	26.34127858516488	1L/0R
348	let	19.995534166286046	1L/0R
349	him	10.92256293292206	1L/0R
350	be	21.22466591626155	1L/0R
351	holy	24.872694703674657	1L/0R
352	still	20.155422948319856	1L/0R
353	.	0.22565871290183617	1L/0R
354	And	18.04693873328205	1L/0R
355	be	20.024581616039633	1L/0R
356	##hold	13.490271983325211	1L/0R
357	I	17.618936348927594	1L/0R
358	come	21.465241654142098	1L/0R
359	quickly	22.644685201561053	1L/0R
360	and	14.32447706442955	1L/0R
361	my	22.771135815077535	1L/0R
362	reward	23.426728424562658	1L/0R
363	is	14.20810254511814	1L/0R
364	with	15.575747965733791	1L/0R
365	me	17.9286049078838	1L/0R
366	to	16.775777174214365	1L/0R
367	give	16.112704441996094	1L/0R
368	every	19.368436575094293	1L/0R
369	man	18.548884619835537	1L/0R
370	according	22.290935439772205	1L/0R
